,"Akyildiz, Ian Fuat.csv","Allen, Gabrielle D..csv","Anderson, Brian D.O..csv","Balakrishnan, Hari.csv","Baraniuk, Richard G..csv","Ben Letaief, Khaled.csv","Bengio, Yoshua.csv","Bertsimas, Dimitris J..csv","Boneh, Dan.csv","Bovik, Alan Conrad.csv","Boyd, Stephen P..csv","Burgard, Wolfram.csv","Campbell, Andrew Thomas.csv","Chang., Shihfu.csv","Chellappa, Rama.csv","Chen, Guanrong.csv","Cohen, Laurent D..csv","Cohen, William W..csv","Cootes, Timothy F..csv","Cremers, Daniel.csv","Dally, William J..csv","Davis, Larry Steven.csv","Dorigo, Marco.csv","Dumais, Susan T..csv","Freeman, William T..csv","Giannakis, Georgios B..csv","Grossmann, Ignacio E..csv","Guibas, Leo J..csv","Haas, Harald.csv","Han, Jiawei.csv","Henzinger, Thomas A.A..csv","Hespanha, Joao Pedro.csv","Hinton, Geoffrey E..csv","Huang, Thomas S..csv","Jain, Anil K..csv","Jordan, Michael I..csv","Kailath, Thomas.csv","Kanade, Takeo.csv","Kumar, Vipin P..csv","Lewis, Frank L.T..csv","Ma, Weiying.csv","Magnenat Thalmann, Nadia Magnenat.csv","Mangasarian, Olvi L..csv","Manning, Christopher D..csv","Mataric, Maja J..csv","McGuinness, Deborah L..csv","Mitchell, John C..csv","Moore, Jason H..csv","Morari, Manfred.csv","Muller, Klaus Robert.csv","Musen, Mark A..csv","Ng, Andrew Y..csv","Ni, Lionel M..csv","Osher, Stanley Joel.csv","Pal, Sankar Kumar.csv","Pedrycz, Witold.csv","Perrig, Adrian.csv","Prade, Henri M..csv","Rexford, Jennifer L..csv","Sangiovanni-Vincentelli, Alberto L..csv","Sastry, Shankar S..csv","Satyanarayanan, Mahadev.csv","Schiele, Bernt.csv","Schmid, Cordelia.csv","Schuller, Bjorn W..csv","Sejnowski, Terrence Joseph.csv","Shah, Mubarak A..csv","Shen X., Xuemin.csv","Shenker, Scott J..csv","Shneiderman, Ben.csv","Simon, Herbert A..csv","Smola, Alex Johannes.csv","Song, Dawn.csv","Spong, Mark William.csv","Stankovic, John A..csv","Stoica, Petre.csv","Szalay, Alexander S..csv","Szeliski, Richard.csv","Tanenbaum, Andrew S..csv","Tang, Xiaoou.csv","Tao, Dacheng.csv","Tarjan, Robert Endre.csv","Thrun, Sebastian B..csv","Ullman, Jeffrey David.csv","Vaidyanathan, Sundarapandian.csv","van der Aalst, Wil M.P..csv","van der Bruggen, Bart.csv","Varghese, George.csv","Vetterli, Martin.csv","Wang, Zidong.csv","Wetherall, David J..csv","Wu, Jie.csv","Yager, Ronald R..csv","Zadeh, Lotfi A..csv","Zhang, David.csv","Zisserman, Andrew P..csv"
30,12,18,36,8,10,6,7,7,7,17,17,8,7,15,21,9,9,8,10,1,15,24,10,15,7,19,28,27,0,11,21,2,25,32,26,16,45,30,14,16,6,11,19,1,10,4,20,5,31,5,18,2,18,27,18,22,1,30,7,32,22,14,4,6,0,36,12,6,16,24,41,5,0,21,24,18,17,17,18,1,1,44,7,35,1,6,1,10,27,3,8,4,26,34,3,16
31,13,19,36,9,10,8,8,9,9,18,18,11,8,17,21,11,11,9,11,1,17,26,12,15,9,23,30,28,1,13,23,4,28,34,29,17,47,32,16,17,7,12,20,1,10,5,20,5,33,6,18,3,20,28,20,22,1,32,8,33,24,15,6,6,0,40,12,6,18,26,43,6,1,22,25,19,22,20,18,1,1,46,12,37,1,7,3,11,30,4,9,5,29,36,4,19
32,16,23,37,13,14,10,10,11,11,18,20,16,11,21,21,13,13,10,12,2,17,27,15,15,11,26,32,29,2,16,26,6,29,35,36,19,48,35,18,19,9,15,20,1,12,6,22,6,35,9,18,3,21,30,22,24,4,34,11,36,26,18,8,7,0,43,14,7,22,27,44,9,3,23,25,21,25,23,19,3,1,48,17,39,1,9,4,12,31,5,9,6,31,36,5,20
33,16,26,38,17,15,12,11,12,14,19,22,21,14,23,22,16,14,11,16,3,19,29,17,17,13,30,34,31,3,17,29,8,30,37,40,21,49,39,20,22,11,16,21,1,14,8,23,7,37,13,20,5,22,32,23,25,7,36,13,38,28,19,10,7,1,49,15,7,23,28,45,12,5,24,28,25,29,26,19,3,1,49,22,40,1,11,6,14,33,8,11,7,32,38,6,25
34,20,29,39,20,19,14,11,13,18,20,25,23,17,27,22,20,15,12,19,4,23,30,18,17,15,32,36,33,5,20,32,11,32,42,47,23,51,44,22,24,13,19,23,2,16,8,25,9,41,16,22,8,22,34,25,28,11,38,16,38,31,20,11,10,2,54,16,8,28,31,46,13,8,25,30,28,33,30,20,5,1,50,25,42,2,14,8,15,38,9,13,10,34,38,8,26
35,23,32,40,27,22,16,13,14,21,22,28,26,20,30,25,26,15,13,21,5,24,31,20,19,18,39,39,37,5,23,34,14,33,47,53,28,54,49,25,26,16,20,24,4,20,9,27,13,44,17,23,11,23,37,26,29,18,41,19,42,33,21,13,11,3,60,18,10,33,33,46,15,11,26,34,31,39,34,21,6,1,51,28,43,2,18,11,17,41,11,15,12,37,39,11,29
36,27,35,41,30,25,19,16,15,26,27,31,28,23,32,26,31,17,17,23,7,26,34,22,22,21,47,41,38,6,31,37,16,34,51,59,34,55,51,26,28,19,22,27,5,23,10,29,17,47,21,25,13,25,40,28,31,22,43,22,45,36,23,15,17,4,66,21,13,38,37,47,18,17,27,36,34,42,38,22,8,3,52,33,43,3,23,13,22,43,13,16,16,38,40,15,33
37,32,38,43,33,27,23,16,17,31,29,37,31,25,35,28,36,18,19,26,11,28,37,26,23,24,57,44,42,7,36,41,21,35,56,64,37,56,53,29,29,23,25,30,7,28,11,31,23,50,26,28,16,27,46,29,34,28,46,23,48,40,25,19,20,4,69,24,14,44,39,49,21,20,29,39,37,49,41,22,11,3,54,39,45,4,27,17,27,49,16,19,20,42,41,19,37
38,38,41,46,36,30,28,18,20,35,32,39,35,25,38,29,43,18,20,27,13,30,39,27,25,25,63,46,44,10,41,45,25,36,59,71,43,58,57,31,33,25,27,31,9,30,13,34,30,53,27,30,18,30,48,31,37,35,49,25,51,44,27,20,24,5,74,26,17,48,43,51,24,23,30,40,41,54,44,23,14,6,56,41,47,5,32,19,27,52,19,21,24,44,42,24,42
39,43,46,47,42,31,29,19,23,38,37,42,37,26,42,30,53,20,21,29,17,33,42,31,29,29,68,50,46,10,47,46,26,39,63,77,47,59,62,32,36,30,28,33,13,35,14,36,34,56,32,32,22,32,50,35,38,38,53,26,54,47,28,23,27,7,78,32,22,51,46,55,28,25,33,44,45,59,47,25,20,11,57,48,48,5,37,23,30,55,29,23,27,47,44,29,47
40,45,50,50,46,35,34,23,27,40,41,47,40,28,44,31,63,21,23,30,17,36,45,34,31,34,74,55,49,12,55,47,30,40,67,82,51,61,64,35,39,35,29,36,16,37,15,37,36,58,36,35,28,34,52,37,41,42,55,29,56,49,29,26,32,10,81,36,26,55,49,56,32,27,34,50,50,67,51,25,25,16,59,52,49,5,42,26,32,58,35,25,29,49,46,33,52
41,51,55,51,52,41,36,26,28,44,44,50,44,32,46,33,68,22,25,32,20,39,47,37,33,39,79,59,50,14,61,51,34,44,70,89,57,62,67,38,42,41,31,39,20,40,16,41,40,60,41,38,35,35,56,39,46,47,57,32,57,52,31,30,39,14,86,43,30,58,52,58,36,30,37,53,53,72,54,26,28,21,60,56,51,5,49,29,33,62,42,28,34,51,49,37,60
42,57,61,55,53,44,39,29,30,47,46,54,47,34,48,33,75,23,26,34,24,43,49,38,37,44,84,62,53,17,67,54,36,45,73,94,62,64,70,40,44,44,32,41,23,41,17,43,46,63,44,40,39,38,61,43,49,49,59,35,60,56,34,32,44,19,91,50,35,63,56,60,40,33,39,57,56,78,60,26,33,26,61,61,52,6,55,32,35,65,49,30,37,55,49,42,68
43,61,66,57,55,49,45,31,30,52,51,59,50,36,51,34,83,24,29,36,29,45,51,40,40,46,86,65,55,21,71,57,41,48,76,99,65,64,74,42,49,50,34,43,26,42,18,44,48,66,50,41,43,39,63,46,52,51,61,39,60,59,36,37,52,24,93,54,40,65,57,62,45,37,44,61,59,85,63,27,41,31,63,65,52,6,63,37,37,68,59,34,42,58,50,49,73
