," 作者:Stoica, Petre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 80 (在纳入 h-Index 的 718 文献中，有 80 篇已被至少引用 80 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
2012,Waveform design for active sensing systems: A computational approach,"He H., Li J., Stoica P.",,Waveform Design for Active Sensing Systems: A Computational Approach,9.78E+12, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,12,12,17,28,35,28,6,0,147
2010,Iterative adaptive approaches to MIMO radar imaging,"Roberts W., Stoica P., Li J., Yardibi T., Sadjadi F.A.",19324553,IEEE Journal on Selected Topics in Signal Processing,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,12,19,19,12,11,12,20,11,8,0,144
2001,Parameter estimation problems with singular information matrices,Stoica P.,1053587X,IEEE Transactions on Signal Processing,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,6,13,5,11,7,6,10,8,13,8,11,14,5,6,4,0,144
1999,New derivation of the APES filter,"Stoica P., Li H., Li J.",10709908,IEEE Signal Processing Letters,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,5,2,4,7,3,8,11,11,7,7,9,10,7,9,10,10,5,1,0,140
2011,New method of sparse parameter estimation in separable models and its use for spectral analysis of irregularly sampled data,"Stoica P., Babu P., Li J.",1053587X,IEEE Transactions on Signal Processing,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,13,10,14,23,29,17,5,0,134
2002,Differential modulation using space-time block codes,"Ganesan G., Stoica P.",10709908,IEEE Signal Processing Letters,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,16,19,17,8,7,6,6,5,5,5,2,4,4,1,5,1,0,131
2006,Source Localization from Range-Difference Measurements,"Stoica P., Li J.",10535888,IEEE Signal Processing Magazine,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,13,12,7,12,18,7,8,13,10,11,3,0,127
2000,"Amplitude estimation of sinusoidal signals: Survey, new results, and an application","Stoica P., Li H., Li J.",1053587X,IEEE Transactions on Signal Processing,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,12,7,8,5,8,9,9,7,6,3,5,6,8,6,7,1,0,123
1981,On the Convergence of an Iterative Algorithm Used for Hammerstein System Identification,Stoica P.,189286,IEEE Transactions on Automatic Control,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,2,0,1,2,2,3,5,5,7,8,11,7,8,3,4,13,7,3,4,4,3,2,4,3,2,0,0,119
1982,Instrumental variable methods for identification of Hammerstein systems,Stoica1 P.,207179,International Journal of Control,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,0,3,0,2,3,2,3,0,1,1,1,4,3,4,3,8,5,7,4,8,7,6,5,6,9,4,3,1,3,2,1,0,116
1981,The Steiglitz-McBride Identification Algorithm Revisited-Convergence Analysis and Accuracy Aspects,"Stoica P., Soderstrom T.",189286,IEEE Transactions on Automatic Control,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,0,3,3,3,3,7,3,2,4,4,5,2,1,2,0,2,1,3,1,7,4,3,5,5,8,4,4,5,1,5,5,1,0,116
2008,Sparsity constrained deconvolution approaches for acoustic source mapping,"Yardibi T., Li J., Stoica P., Cattafesta III L.N.",14966,Journal of the Acoustical Society of America,123,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,5,10,5,10,15,16,11,12,3,0,109
2003,Orthogonal space-time block codes: Maximum likelihood detection for unknown channels and unstructured interferences,"Larsson E.G., Stoica P., Li J.",1053587X,IEEE Transactions on Signal Processing,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,8,12,12,7,8,6,8,5,5,5,3,2,0,2,1,0,109
2009,Spectral analysis of nonuniformly sampled data: A new approach versus the periodogram,"Stoica P., Li J., He H.",1053587X,IEEE Transactions on Signal Processing,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,18,4,18,8,6,6,7,10,13,5,0,108
2008,On estimation of covariance matrices with kronecker product structure,"Werner K., Jansson M., Stoica P.",1053587X,IEEE Transactions on Signal Processing,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,1,9,11,11,4,14,14,16,9,3,0,106
1993,List of references on spectral line analysis,Stoica P.,1651684,Signal Processing,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,3,1,4,4,4,9,2,2,3,6,5,11,5,6,6,6,4,5,4,5,0,4,0,0,106
2000,Approximate maximum likelihood estimators for array processing in multiplicative noise environments,"Besson O., Vincent F., Stoica P., Gershman A.B.",1053587X,IEEE Transactions on Signal Processing,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,13,12,4,4,5,6,2,4,3,1,6,2,6,5,5,5,8,0,0,102
