," 作者:Mangasarian, Olvi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 53 (在纳入 h-Index 的 150 文献中，有 53 篇已被至少引用 53 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
2008,Multiple instance classification via successive linear programming,"Mangasarian O.L., Wild E.W.",223239,Journal of Optimization Theory and Applications,137,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,4,8,9,8,0,3,8,4,3,1,0,60
1999,Importance of nuclear morphology in breast cancer prognosis,"Wolberg W.H., Street W.N., Mangasarian O.L.",10780432,Clinical Cancer Research,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,4,8,5,4,2,2,5,6,5,2,3,0,7,0,0,60
1994,Misclassification minimization,Mangasarian O.L.,9255001,Journal of Global Optimization,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,1,4,3,3,1,4,1,5,6,2,2,1,1,2,2,3,3,3,0,2,1,0,60
1994,Serial and parallel backpropagation convergence via nonmonotone perturbed minimization,"Mangasarian O.L., Solodov M.V.",10556788,Optimization Methods and Software,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,4,0,3,2,4,1,1,0,5,3,0,3,0,5,6,3,1,3,2,1,1,2,0,0,58
2001,Active support vector machine classification,"Mangasarian O.L., Musicant D.R.",10495258,Advances in Neural Information Processing Systems,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,6,5,4,5,1,3,3,3,4,4,2,2,0,1,1,0,0,56
1994,New improved error bounds for the linear complementarity problem,"Mangasarian O.L., Ren J.",255610,Mathematical Programming,66, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,0,1,4,2,1,1,1,1,2,2,7,3,5,4,2,0,1,2,0,1,1,1,0,56
1986,Error bounds for monotone linear complementarity problems,"Mangasarian O.L., Shiau T.-H.",255610,Mathematical Programming,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,4,5,2,1,3,0,1,3,1,2,1,1,1,0,0,0,4,3,3,4,1,1,0,0,0,1,1,0,0,52
2003,Knowledge-based support vector machine classifiers,"Fung G.M., Mangasarian O.L., Shavlik J.W.",10495258,Advances in Neural Information Processing Systems,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,5,9,2,6,4,2,2,2,0,1,1,2,0,0,51
2000,Data selection for support vector machine classifiers,"Fung G., Mangasarian O.L.",,Proceeding of the Sixth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,4,1,2,1,4,4,2,4,1,4,3,2,3,1,7,1,0,51
2004,A Newton method for linear programming,Mangasarian O.L.,223239,Journal of Optimization Theory and Applications,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,6,2,2,6,6,4,3,1,5,1,4,2,0,49
1993,Breast cytology diagnosis with digital image analysis,"Wolberg W.H., Street W.N., Mangasarian O.L.",8846812,Analytical and Quantitative Cytology and Histology,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,1,0,3,4,1,4,1,4,6,1,4,3,3,2,2,0,3,0,0,0,0,0,49
1985,CONDITION NUMBER FOR DIFFERENTIABLE CONVEX INEQUALITIES.,Mangasarian O.L.,0364765X,Mathematics of Operations Research,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,4,2,2,0,3,2,2,1,0,1,0,2,1,1,2,4,1,1,4,3,1,0,1,0,47
2007,Nonlinear knowledge in kernel approximation,"Mangasarian O.L., Wild E.W.",10459227,IEEE Transactions on Neural Networks,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,7,4,1,5,4,4,3,2,0,2,0,46
1985,SUFFICIENCY OF EXACT PENALTY MINIMIZATION.,Mangasarian O.L.,3630129,SIAM Journal on Control and Optimization,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,3,0,0,2,0,0,0,0,1,0,0,1,0,1,4,2,1,4,2,2,4,2,3,8,0,0,46
1983,NORMAL SOLUTIONS OF LINEAR PROGRAMS.,Mangasarian O.L.,3033929,Mathematical Programming Study,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,1,0,1,3,0,1,3,2,1,0,3,1,2,2,2,1,3,2,2,1,0,1,0,0,0,1,0,1,0,0,46
